qid,wikipedia:ko,wikipedia:en
Q1198,노르트라인베스트팔렌주,North Rhine-Westphalia
Q1197,니더작센주,Lower Saxony
Q1200,라인란트팔츠주,Rhineland-Palatinate
Q1196,메클렌부르크포어포메른주,Mecklenburg-Vorpommern
Q985,바덴뷔르템베르크주,Baden-Württemberg
Q980,바이에른주,Bavaria
Q64,베를린,Berlin
Q1208,브란덴부르크주,Brandenburg
Q1209,브레멘주,Bremen (state)
Q1194,슐레스비히홀슈타인주,Schleswig-Holstein
Q1201,자를란트주,Saarland
Q1202,작센주,Saxony
Q1206,작센안할트주,Saxony-Anhalt
Q1205,튀링겐주,Thuringia
Q1055,함부르크,Hamburg
Q1199,헤센주,Hesse
Q18677983,그랑테스트,Grand Est
Q18677875,노르망디 (레지옹),Normandy (administrative region)
Q18678082,누벨아키텐,Nouvelle-Aquitaine
Q18578267,부르고뉴프랑슈콩테,Bourgogne-Franche-Comté
Q12130,브르타뉴,Brittany (administrative region)
Q13947,상트르발드루아르,Centre-Val de Loire
Q18677767,오드프랑스,Hauts-de-France
Q18338206,오베르뉴론알프,Auvergne-Rhône-Alpes
Q18678265,옥시타니,Occitania (administrative region)
Q13917,일드프랑스,Île-de-France
Q14112,코르시카,Corsica
Q16994,페이드라루아르,Pays de la Loire
Q15104,프로방스알프코트다쥐르,Provence-Alpes-Côte d'Azur
